id,file,extension,label
153,01-137,pdf,Main content page spread no. 137
154,01-138,pdf,Main content page spread no. 138
155,01-139,pdf,Main content page spread no. 139
156,01-140,pdf,Main content page spread no. 140
157,01-141,pdf,Main content page spread no. 141
158,01-142,pdf,Main content page spread no. 142
159,01-143,pdf,Main content page spread no. 143
160,01-144,pdf,Main content page spread no. 144
161,01-145,pdf,Main content page spread no. 145
162,01-146,pdf,Main content page spread no. 146
163,01-147,pdf,Main content page spread no. 147
164,01-148,pdf,Main content page spread no. 148
165,01-149,pdf,Main content page spread no. 149
166,01-150,pdf,Main content page spread no. 150
167,01-151,pdf,Main content page spread no. 151
168,01-152,pdf,Main content page spread no. 152
169,01-153,pdf,Main content page spread no. 153
170,01-154,pdf,Main content page spread no. 154
171,01-155,pdf,Main content page spread no. 155
172,01-156,pdf,Main content page spread no. 156
173,01-157,pdf,Main content page spread no. 157
174,01-158,pdf,Main content page spread no. 158
175,01-159,pdf,Main content page spread no. 159
176,01-160,pdf,Main content page spread no. 160
177,01-161,pdf,Main content page spread no. 161
178,02-001,pdf,Supplementary list no. 1
179,02-002,pdf,Supplementary list no. 2
180,02-003,pdf,Supplementary list no. 3
181,03-Back Binding,pdf,Back cover
